,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit, Current InHouse & Intransit , Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,4.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,80,1000," 157,000 ",2023-04-15::8000|||2023-04-24::18000|||2023-04-22::5000|||2023-04-24::24000|||2023-04-24::9000|||NaT::24000|||2023-05-14::6000|||NaT::6000|||NaT::55000," 12,000 "," 1,961 "," 41,425 "," 18,152 "," 19,534 "," 9,025 ", 0.34 ,4.7, 4.13 ," 24,855 ", 24.9 ,,," 41,425 "," 15,201 ","(13,240)","(39,464)",
82,104932,BINDER W 212,GSC ITALY,O,-,"Compound,NCC doi ten thanh (BINDER W 207)",80,1000, -   ,-, -   , -   , -   ," 3,187 "," 2,695 ", -   , -   ,4.7, -   , -   , -   ,,, -   , -   ,0 ,0 ,
83,105151,BINDER W 207,GSC ITALY,O,COMPOUND,ten moi BINDER W 212,80,1000," 52,000 ",2023-04-17::3000|||2023-04-24::7000|||2023-04-24::11000|||2023-05-14::12000|||2023-05-14::6000|||NaT::10000," 3,000 "," 1,124 "," 11,766 "," 1,415 "," 2,830 "," 4,474 ", 0.35 ,4.7, 4.77 ," 2,353 ", 2.4 ,,," 11,766 "," 4,563 ","(3,439)","(10,642)",
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",85,120," 46,000 ",2023-05-12::11000|||2023-05-16::7000|||2023-05-23::10000|||NaT::18000," 1,000 ", 628 ," 5,867 "," 1,613 ", 503 ," 4,425 ", 0.28 ,4.8, 8.12 , -   , -   ,,," 5,867 "," 3,509 ","(1,881)","(4,239)",
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,-,-,14,200, 200 ,NaT::200, -   , -   , -   , -   ,, -   ,#DIV/0!,2.5,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200, -   ,-, 200 , 513 , 110 , 100 , 111 , 81 , 6.48 ,2.5, 6.48 , -   , -   ,,, 110 , 72 ,641 ,603 ,
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,2,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100, -   ,-, -   , -   , -   , -   ,, -   ,#DIV/0!,3.8,#DIV/0!, -   , -   ,,, -   , -   ,0 ,0 ,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",85,30, -   ,-," 1,350 ", 75 , 3 , 9 , 4 , 20 , 356.25 ,4.8, 356.25 , -   , -   ,,, 3 , -   ,"1,425 ","1,422 ",
