,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 7,650 ", 824 ," 14,745 "," 16,354 "," 16,162 ",0.5,2.5,0.5," 30,908 ", 36.4 ,,," 15,454 "," 8,454 ",20,"-6,980",
72,104564,HM-283,STAHL(Singapore),O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,,,2.7,0, -   , -   ,,,, -   ,100,,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   , -   ,15,0,15, -   , -   ,,, -   , -   ,15,15,
74,104563,HM-132,STAHL sigapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,,,2.8,0, -   , -   ,,,, -   ,0,,
75,105205,HM-22-132,STALH Singapore,O,COMPOUND,FISS nitro,25,25, -   ,-, 75 , 49 , 48 , 41 , 44 ,2.7,2.8,2.7, 5 , 0.2 ,,, 46 , 23 ,101,78,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,KELA,83,110," 2,200 ",2023-02-17::2200.0," 1,100 ", 546 ," 1,100 ", 840 , 859 ,1.7,4.8,3.9, 882 , 8.0 ,,, 980 , 739 ,907,666,
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,70,1000," 18,000 ",2023-03-26::18000.0," 11,000 "," 1,020 "," 18,382 "," 6,101 "," 7,055 ",0.9,4.3,2.4," 24,164 ", 24.2 ,,," 12,718 "," 5,766 ","6,254",-698,
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000, -   ,-, -   , -   , -   , -   ,,,4.7,0, -   , -   ,,,, -   ,0,,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 1,920 ",2023-03-18::1920.0," 6,000 ", 276 ," 3,152 ", 816 , 654 ,3.3,4.3,4.3, -   , -   ,,," 1,903 ", 489 ,"5,787","4,373",
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120, -   ,-, -   , -   , -   , -   ,,,4.8,0, -   , -   ,,,, -   ,0,,
