,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size,  Intransit  ,Intransit_Notes,  Stock_CH01  ,  Stock_CH10  ,,, monthly Chemical Forecast ,  monthly Consumption (6months)  ,  monthly Consumption (3months)  ,  Consumption on Current Month  ,InHouse Stock InMonth,StockSet InHouse & Intransit,Current InHouse & Intransit,  Buy To StockSet  ,  ByTank  ,  revised To Buy  ,  stock included Buy  ,  Aveage ForeCast Consumption  ,  current Chemical Demand  ,InHouse vs. curOrders,InHouse vs. oneMonth,
58,105086,EX WT 43 051,STAHL Singapore,O,COMPOUND,"Fis Baltimora,FISS art: ANGKOR,CAPITAL,TAMPA,FARO,ALINE K TT HP,GABLES,SAHARA, NOKOR, AZORES,MERO",25,110," 3,190 ",NaT::1650.0|||NaT::1540.0, 660 , 223 ,," 1,655 ",1655," 1,538 "," 2,120 ", 642 ,0.5,2.8,2.5, 496 , 4.5 ,,," 1,655 "," 1,563 ",-680,-772,
59,104555,FI-70-306,STAHL Singapore,O,COMPOUND,"FISS art: Vintage, EFF Deco/Lux, EFF Classic TT",25,55, 220 ,2023-03-09::220.0, 110 , 11 ,, 634 ,634, 169 , 184 , 138 ,0.2,2.8,0.5," 1,458 ", 26.5 ,,, 634 , 261 ,-140,-513,
60,104512,Melio Wax AL-03,STAHL Singapore,O,-,"WAX DECO&CLASSIC, FISS1 VINTAGE",23,60,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
61,104805,CONTEX FUCHSIA,SAMIA,O,PIGMENT,-,70,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
62,105462,OPERA RUBINO,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 1,560 ", 118 ,, 37 ,37, 13 , 16 , 2 ,45.4,4.8,45.4,  -    ,  -    ,,, 37 , 16 ,"1,662","1,641",
63,104803,GIALLO CONTEX ECP,SAMIA,O,PIGMENT,-,70,120,  -    ,-,  -    ,  -    ,, 1 ,1,  -    ,,  -    ,0,4.8,0, 5 ,  -    ,,, 1 ,  -    ,0,-1,
64,105468,OPERA GIALLO,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-," 4,200 ", 435 ,, 886 ,886, 291 , 250 , 97 ,5.2,4.8,5.2,  -    ,  -    ,,, 886 , 573 ,"4,062","3,749",
65,104557,CONTEX GIALLO PK,SAMIA,O,PIGMENT,-,70,60,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
66,105472,OPERA ARANCIO,GSC,O,PIGMENT,GSC pigment,70,120,  -    ,-, 840 , 69 ,, 109 ,109, 58 , 79 , 23 ,8.3,4.8,8.3,  -    ,  -    ,,, 109 , 156 ,753,800,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10,  -    ,-, 470 , 88 ,, 53 ,53, 32 , 34 , 19 ,10.5,4.8,10.5,  -    ,  -    ,,, 53 , 33 ,525,505,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850,  -    ,-," 5,950 ", 551 ,," 21,774 ",21774," 16,892 "," 18,370 "," 7,890 ",0.3,2.5,0.3," 47,903 ", 56.4 ,,," 21,774 "," 9,617 ","-3,116","-15,273",
72,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1,  -    ,-, 50 , 50 ,,  -    , -   ,  -    ,,  -    ,100,0,100,  -    ,  -    ,,,  -    ,  -    ,100,100,
73,100029,HM-183                   ,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1,  -    ,-,  -    , 15 ,,  -    , -   ,  -    ,,  -    ,15,0,15,  -    ,  -    ,,,  -    ,  -    ,15,15,
74,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
75,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25,  -    ,-, 75 , 21 ,, 59 ,59, 46 , 43 , 9 ,1.6,2.8,1.6, 71 , 2.8 ,,, 59 , 11 ,85,37,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",2023-04-19::1650.0," 2,750 ", 520 ,," 1,182 ",1182, 834 , 912 , 159 ,2.8,4.8,4.2, 709 , 6.4 ,,," 1,182 ", 866 ,"2,404","2,088",
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,70,1000," 44,000 ",2023-04-02::18000.0|||NaT::18000.0|||NaT::8000.0," 3,000 "," 1,344 ",," 21,615 ",21615," 6,475 "," 7,789 "," 3,028 ",0.2,4.3,2.2," 45,391 ", 45.4 ,,," 21,615 "," 9,165 ","-4,821","-17,271",
78,104952,EX-RC -57-611/B,STAHL EUROPE BV,O,COMPOUND,(DONE)-Stahl Germany have another 14ton in their stock.,80,1000,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
79,104867,BASEMASK 5000,SMIT FINISHING,O,COMPOUND,"SOFT, MALTA, OVAR",70,120," 1,920 ",2023-03-24::1920.0," 5,400 ", 73 ,," 2,054 ",2054, 865 , 730 , 589 ,2.7,4.3,3.6," 1,438 ", 12.0 ,,," 2,054 ", 463 ,"5,010","3,419",
80,105321,BASEMUSK 5500,SMIT FINISHING,O,-,"Not, approved,PM.VIE.0021.19.A ,will be used in Mallorca article.",85,120,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
81,104931,BINDER M-PR 400,GSC ITALY,O,COMPOUND,Compound,70,1000," 76,000 ",2023-04-02::2000.0|||2023-04-13::8000.0|||2023-04-02::10000.0|||2023-04-13::18000.0|||2023-04-19::5000.0|||2023-04-22::24000.0|||NaT::9000.0," 11,000 "," 2,121 ",," 41,745 ",41745," 16,034 "," 16,813 "," 4,054 ",0.3,4.3,2.1," 91,839 ", 91.8 ,,," 41,745 "," 23,103 ","-9,982","-28,624",
82,104932,BINDER W 212,GSC ITALY,O,COMPOUND,"Compound,NCC doi ten thanh (BINDER W 207)",70,1000,  -    ,-,  -    , 52 ,," 13,083 ",13083," 3,969 "," 4,174 ",  -    ,0,4.3,0," 56,257 ", 56.3 ,,," 13,083 "," 7,708 ","-7,656","-13,031",
83,105151,BINDER W 207,GSC ITALY,O,-,ten moi BINDER W 212,70,1000," 24,000 ",2023-04-02::3000.0|||2023-04-19::3000.0|||NaT::7000.0|||NaT::11000.0,  -    ," 1,256 ",,  -    , -   , 219 , 438 ," 1,431 ",1256,0,25256,  -    ,  -    ,,,  -    ,  -    ,"1,256","1,256",
84,104928,RODA BASE 5615,TFL,O,COMPOUND,"FON or RIM article: AJAX TT, HERCULES TT,CAPRI,SAHARA KTT, RAVENNA,Maestro",83,120," 24,000 ",2023-03-27::6000.0|||NaT::18000.0,  -    , 457 ,," 3,621 ",3621," 1,455 "," 1,861 ", 143 ,0.1,4.8,6.8,  -    ,  -    ,,," 3,621 "," 3,581 ","-3,124","-3,164",
85,104987,BUTIL DIGLYCOL,SAMCHEM,D,COMPOUND,-,14,200,  -    ,-,  -    ,  -    ,, 121 ,121,  -    ,,  -    ,0,2.5,0, 303 , 1.5 ,,, 121 , 68 ,-68,-121,
86,105283,BUTYL CARBITOL (BC),SAMCHEM,D,COMPOUND,add on FISS water,14,200,  -    ,-, 400 , 586 ,, 2 ,2, 93 , 78 , 13 ,493,2.5,493,  -    ,  -    ,,, 2 ,  -    ,986,984,
87,104579,LAMOIL GS,UNICHEM,O,-,-,0,1,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
88,104730,LAMSOFT SW16,UNICHEM,O,-,replace with Roda Feel 768N,54,100,  -    ,-,  -    ,  -    ,,  -    , -   ,  -    ,,  -    ,0,0,0,  -    ,  -    ,,,  -    ,  -    ,0,0,
89,105263,RODA FEEL 768/ N,TFL,O,COMPOUND,"Tato Milling art ELLINGTESSE K TT, add on FISS water",83,30,  -    ,-," 1,380 ", 84 ,, 15 ,15, 12 , 5 , -   ,97.6,4.8,97.6,  -    ,  -    ,,, 15 , 2 ,"1,462","1,449",
