,Material,Long Material Description,Supplier,Location,PIGCOM,Comments,Leadtime,Tank_Drum_Size, Intransit ,Intransit_Notes, Stock_CH01 , Stock_CH10 , monthly Chemical Forecast , monthly Consumption (6months) , monthly Consumption (3months) , Consumption on last month , Consumption on Current Month , InHouse Stock InMonth ,StockSet InHouse & Intransit,Current InHouse & Intransit, Buy To StockSet , ByTank , revised To Buy , stock included Buy , Aveage ForeCast Consumption , current Chemical Demand ,InHouse vs. curOrders,InHouse vs. oneMonth,
67,104745,ISOLAC GIALLO ORO,SAMIA,O,PIGMENT,"xai het khong mua nua chuyen qua ""SHADE YELLOW""",70,10, -   ,-, 420 , 72 , 62 , 36 , 48 , 69 , 3 , 7.94 ,4.8, 7.94 , -   , -   , -   , 7.94 , 62 , 39 ,453 ,430 ,
68,105593,SHADE YELLOW/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
69,105611,SHADE YELLOW CO/EJ,GSC,,-,"pigment EFF nitro, KELA",70,10, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
70,104766,BRITEX GREEN,SAMIA,O,-,-,70,1, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,4.3,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
71,104727,DILUENT NITRO GL,RIVERBANK,D,COMPOUND,"pha EFF, FISS nitro và v? sinh",14,850, -   ,-," 4,250 "," 2,029 "," 21,617 "," 19,682 "," 21,035 "," 29,777 ", 626 , 0.29 ,2.5, 0.29 ," 47,764 ", 60.0 ," 51,000.0 ", 2.65 ," 21,617 "," 11,622 ","(5,343)","(15,338)",
72,104564,HM-283,STAHL Singapore,O,-,"TIPSHINE article: MALTA TIP, BY CAST TIP, ZANZI TIP",20,1, -   ,-, 50 , 50 , -   , -   ,,#N/A, -   ,#DIV/0!,2.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,100 ,100 ,
73,100029,HM-183,STAHL,O,-,TIP BY MACHINE FOR BONO TT TIP,80,1, -   ,-, -   , 15 , -   , -   ,,#N/A, -   ,#DIV/0!,4.7,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,15 ,15 ,
74,104563,HM-132,STAHL Singapore,O,COMPOUND,-,23,22.5, -   ,-, -   , -   , -   , -   ,,#N/A, -   ,#DIV/0!,2.8,#DIV/0!,#DIV/0!, -   , -   ,#DIV/0!, -   , -   ,0 ,0 ,
75,105205,HM-22-132,STAHL Singapore,O,COMPOUND,FISS nitro,25,25, -   ,-, 125 , 38 , 56 , 46 , 44 , 44 , 0 , 2.91 ,2.8, 2.91 , -   , -   , -   , 2.91 , 56 , 15 ,148 ,107 ,
76,100322,ICALAC SB 200,ICAP,O,COMPOUND,"KELA mua nhieu len, de 2 thang mua mot lan",83,110," 1,650 ",2023-04-21::1650.0," 1,980 ", 337 ," 1,271 ", 898 , 861 , 943 , 37 , 1.82 ,4.8, 3.12 ," 2,134 ", 24.0 ," 2,640.0 ", 5.20 ," 1,271 ", 793 ,"1,524 ","1,046 ",
77,104938,COMPACT HP3,RECALAC,O,COMPOUND,compound,80,1000," 87,000 ",2023-04-14::18000.0|||2022-05-13::18000.0|||2022-05-10::8000.0|||NaT::18000.0|||NaT::18000.0|||2023-04-01::3000.0|||2023-04-01::4000.0," 1,000 "," 1,613 "," 19,506 "," 7,165 "," 7,955 "," 10,325 ", 316 , 0.13 ,4.7, 4.59 ," 2,065 ", 8.0 ," 8,000.0 ", 5.00 ," 19,506 "," 7,455 ","(4,842)","(16,893)",
