Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments
105175,SMITFIX G 9633,SMIT FINISHING S.P.A,O,70,120,Binder,"Tên Article có TIP,  TIPSHINE BY HAND & MILLIPUNTE"
105600,EX-WT-35-703,STAHL Germany,O,83,120,Binder,FISS ANKUR K TT
105080,RODA CARE HB,TFL,O,85,100,Binder,PRE HERCULES
105516,RODA CARE HB-B,TFL,O,85,100,Binder,"PRE HERCULES, AJAX TT"
105255,MA-22-617,STAHL Spain,O,71,25,Binder,"EF HERCULES, AJAX TT"
105393,RODA FEEL KTA 950,TFL,O,85,25,Auxiliary,"FIS HERCULES, AJAX TT, FLESH SIDE , Tatto Milling"
105012,RODA FEEL KTA 950 BR ,TFL,O,85,30,#N/A,"FIS HERCULES, KELA FLESH SIDE BONO TT TIP"
105203,RODA FIX 6306,TFL Brazil,O,85,200,Binder,"FIS HERCULES, AJAX TT"
105059,RODA FEEL S 2075-BR,TFL,O,85,10,Auxiliary,"ch?t này gi?ng RODA FEEL S 2075 , MILLING HERCULES, AJAX TT"
104949,RODA BASE RECO 3,TFL,O,85,120,Binder,"PRE-CAPRI, ANKUR K TT"
105349,RODA FEEL S 2075,TFL,O,85,120,Auxiliary,"ch?t này gi?ng RODA FEEL S 2075-BR , MILLING HERCULES, AJAX TT"
104951,SMITFIX RL 9549,SMIT FINISHING S.P.A,O,83,120,Binder,July08-Alan:Place an order for 360kg 9549 ASAP-cancel
105492,SELLA DERM YELLOW M2,TFL,O,85,25,Pigmented,"pigment SIENA, EF WATER"
104978,DARKWAX 6G,GSC,O,70,120,Auxiliary,THUNDER
105158,FYL WAX 6G,GSC,O,70,120,#N/A,THUNDER
105547,SELLA DERM LIGHT BLUE M2,TFL Italy,O,85,25,Pigmented,pigment SIENA
105548,SELLA DERM FUCSIA M2,TFL Italy,O,85,25,#N/A,pigment SIENA
105549,SELLA DERM ORANGE M2,TFL Italy,O,85,25,#N/A,
105409,RODA GROUND RECO 5,TFL Italy,O,85,120,Binder,SIENA
105545,RODA WAX 4092,TFL Italy,O,85,110,Auxiliary,SIENA
105369,RODA PUR ADX,TFL Italy,O,85,120,Binder,SIENA
104944,RODA OIL KCF 673,TFL Italy,O,85,110,Auxiliary,SIENA
105063,FI 18988,STAHL,O,70,25,Auxiliary,SIENA
105560,RODA FIX 5792/N2,TFL Italy,O,85,120,Binder,
105621,RODA WAX KCF 604/N,TFL Italy,O,85,120,Auxiliary,SIENA
105626,NNXC R-16L,,O,83,30,#N/A,sample-Shippiment Brazil to JBS Vietnan
105685,PRIMEX 2293,GSC,O,70,5,Binder,sample-Chemicals for Chamois and Maestro 
105193,ADDITIVE LIV 2455/2,GSC,O,83,5,Auxiliary,sample-Chemicals for Chamois and Maestro 
105684,FYL WAX 2500,GSC,O,83,10,Auxiliary,sample-Chemicals for Chamois and Maestro 
105682,FYL WAX 69,GSC,O,83,50,Auxiliary,sample-Chemicals for Chamois and Maestro 
105638,PEVIT XVS 5491,GSC,O,83,1,#N/A,Chemicals for Chamois and Maestro 
104930,RODA PUR WX,TFL,O,85,1,Binder,sample-Chemicals for Chamois and Maestro 
,ISOLAC FUCSIA LP,GSC,O,83,1,#N/A,Chemicals for Chamois and Maestro 
105612,SHADE FUXIA/EJ,GSC,O,83,10,Pigmented,
104948,RODA WAX 6311,TFL Brazil,O,85,120,Auxiliary,
105079,RODA CARE CE/N2,TFL Italy,O,85,80,#N/A,
105443,ICAFIX 282,ICAP,,,,,
105700,AQUADERM ADDITIVE XF EXP 2208,TFL,,,,,
105204,RODA FIX 5114/N DULL,TFL,,,,,
105652,RODA CAR B 98,TFL,,,,,
105370,RODA FIX 5792/N,TFL,,,,,
105029,RODA BASE SB,TFL,,,,,
105701,RODA BASE RECO 10,TFL,,,,,
105031,RODA BASE RECO 4,TFL,,,,,
105350,RODA FIX 5020,TFL,,,,,
