MATERIAL DESCRIPTION,COMPONENT DESCRIPTION,COLORCODE,FAMILY_ARTICLES,ART_TYPE,G_SF,Setup
CAC-W ALINE K TT 09/11 TR1 (8312) PC,FR PIN TBH PB X ARTICLE,8312,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8318) PC,FR PIN TBH PB X ARTICLE,8318,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8334) PC,FR PIN TBH PB X ARTICLE,8334,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8376) PC,FR PIN TBH FS F212,8376,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (8511) PC,FR PIN TBH PB X ARTICLE,8511,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8517) PC,FR PIN TBH FS F212,8517,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (8528) PC,FR PIN TBH PB X ARTICLE,8528,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8531) PC,FR PIN TBH FS F212,8531,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (8532) PC,FR PIN TBH FS F212,8532,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (8533) PC,FR PIN TBH PB X ARTICLE,8533,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8536) PC,FR PIN TBH PB X ARTICLE,8536,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8546) PC,FR PIN TBH PB X ARTICLE,8546,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8547) PC,FR PIN TBH PB X ARTICLE,8547,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8667) PC,FR PIN TBH PB X ARTICLE,8667,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8669) PC,FR PIN TBH PB X ARTICLE,8669,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (8814) PC,FR PIN TBH FS F212,8814,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (9169) PC,FR PIN TBH PB X ARTICLE,9169,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9303) PC,FR PIN TBH PB X ARTICLE,9303,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9311) PC,FR PIN TBH PB X ARTICLE,9311,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9313) PC,FR PIN TBH PB X ARTICLE,9313,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9566),FR PIN TBH PB X ARTICLE,9566,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9568) PC,FR PIN TBH PB X ARTICLE,9568,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9580) PC,FR PIN TBH PB X ARTICLE,9580,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9585) PC,FR PIN TBH PB X ARTICLE,9585,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9695) PC,FR PIN TBH PB X ARTICLE,9695,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9833) PC,FR PIN TBH FS F212,9833,ALINE,TOP,,
CAC-W ALINE K TT 09/11 TR1 (9893) PC,FR PIN TBH PB X ARTICLE,9893,ALINE,TOP,4,
CAC-W ALINE K TT 09/11 TR1 (9897) PC,FR PIN TBH PB X ARTICLE,9897,ALINE,TOP,4,
CAC-W ALINE K TT HP 09/11 TR (13262) PC,FR PIN TBH PB X ARTICLE,13262,ALINE,TOP,4,
CAC-W ALINE K TT HP 09/11 TR1 (13077) PC,FR PIN TBH PB X ARTICLE,13077,ALINE,TOP,4,
CAC-W ALINE K TT HP 09/11 TR1 (13084) PC,FR PIN TBH PB X ARTICLE,13084,ALINE,TOP,4,
CAC-W ALINE K TT HP 09/11 TR1 (13164) PC,FR PIN TBH PB X ARTICLE,13164,ALINE,TOP,4,
CAC-W ALINE K TT HP 09/11 TR1 (13226) PC,FR PIN TBH PB X ARTICLE,13226,ALINE,TOP,4,
CAC-W ALINE K TT HP 09/11 TR1 (13227) PC,FR PIN TBH PB X ARTICLE,13227,ALINE,TOP,4,
