,Material,Component_Description,JAN_23,FEB_23,MAR_23,APR_23,MAY_23,JUN_23
1003,105215,DOWESION ORANGE N531,0.0,0.0,0.0,3.71,0.0,0.0
1004,105216,DOWESION ORANGE F571,0.0,0.0,0.0,3.613,0.0,0.0
1005,105217,DOWESION PINK N432,0.0,0.0,0.0,11.677,0.0,0.0
1006,105218,FOUNDER ROLLER 2515,0.0,0.0,0.0,0.0,0.0,0.0
1007,105219,DOWESION ROSE PINK F379,0.0,0.0,0.0,12.846,0.0,0.0
1008,105220,NEOFILM STUCCO 2499              ,0.0,0.0,0.0,0.0,0.0,0.0
1009,105221,NITROFIX A 99,0.0,0.0,0.0,0.0,0.0,0.0
1010,105222,NITROFIX A 33,0.0,0.0,0.0,0.0,0.0,0.0
1011,105223,EXP AQ SYSTEM EF 91/8,1260.0,2543.487,2292.335,2630.812,1861.405,2557.733
1012,105227,DOWESION GREEN F771,0.0,0.0,0.0,0.839,0.0,0.0
1013,105228,RI-2060,0.0,0.0,0.0,0.0,0.0,0.0
1014,105229,MELIO RESIN A-712 ,0.0,0.0,0.0,0.0,0.0,0.0
1015,105230,DOWELLIC RA 1861,0.0,0.0,0.0,0.625,0.0,0.0
1016,105231,DOWELLIC RA 1863,0.0,0.0,0.0,0.0,0.0,0.0
1017,105234,RECAPUR FIX VARNISH,0.0,0.0,0.0,0.0,0.0,0.0
1018,105236,DOWELLIC OLI 5262,0.0,0.0,0.0,0.05,0.0,0.0
1019,105242,INACTIVATED RODA FIX 6306,0.0,0.0,0.0,0.0,0.0,0.0
1020,105243,INACTIVATED RODA FEEL S 2075-BR,0.0,0.0,0.0,0.0,0.0,0.0
1021,105244,RODA LINK 5777,0.0,0.0,0.0,0.0,0.0,0.0
1022,105245,DOWELLIC DRIVER -5511,0.0,0.0,0.0,1.5,0.0,0.0
1023,105248,NATRI PHOSPHATE,0.0,0.0,0.0,0.0,0.0,0.0
1024,105250,POLIM SCAMBIATORI,0.0,0.0,0.0,0.0,0.0,0.0
1025,105255,MA-22-617,0.0,8.726,6.887,11.044,14.946,34.891
1026,105256,XR-5525,0.0,0.0,0.0,0.0,0.0,0.0
1027,105257,MA-22-617,0.0,0.0,0.0,0.0,0.0,0.0
1028,105261,INACTIVATED NATRI PHOSPHATE,0.0,0.0,0.0,0.0,0.0,0.0
