,Material,Long Material Description,Supplier,Location,Leadtime,Tank_Drum_Size,function,Comments,Intransit,Intransit_Notes,Stock_CH01,Stock_CH10,Consumption on Current Month,PIGCOM,monthly Chemical Forecast,current Chemical Demand,monthly Consumption (6months),monthly Consumption (3months)
116,104644.0,TOUCHMILL C/LDS (EX MILLITER C/LDS),GSC ITALY,O,80.0,1000.0,Auxiliary,"MILLING MEKONG, CAPITAL,Express,Datanla, PUCCINI",,,840.0,119.0,16.238,COMPOUND,68.0,17.0,50.0,52.0
117,104645.0,TOUCHMILL C/W8 (EX MILLITER C/W8),GSC ITALY,O,80.0,120.0,Auxiliary,"MILLING CAPITAL,BOWIE",2400.0,2023-08-19::2400.0,1680.0,123.0,47.65,COMPOUND,257.0,19.0,150.0,214.0
118,104799.0,NERO CONTEX M,SAMIA,O,70.0,120.0,,"can replace by PP Stahl 19215, PP 11315)",,,,,0.0,PIGMENT,2.0,0.0,0.0,0.0
119,105464.0,OPERA NERO FR,GSC,O,70.0,120.0,Pigmented,GSC pigment (nhà CC ?ã ??i tên thành oxy fine nerro fr),,,,14.0,2.606,PIGMENT,1.0,0.0,858.0,644.0
120,105180.0,OXY FINE NERO FR,GSC,O,70.0,120.0,Pigmented,GSC pigment (tên m?i c?a opera nero),,,10080.0,389.0,211.779,PIGMENT,2206.0,761.0,333.0,667.0
121,104754.0,ISOLAC NERO,SAMIA,O,70.0,10.0,Pigmented,,,,660.0,65.0,17.073,PIGMENT,178.0,92.0,142.0,141.0
122,105595.0,SHADE BLACK/EJ,GSC,O,70.0,10.0,Pigmented,,,,5.0,24.0,0.0,,,,0.0,0.0
123,104914.0,SAMIACEL LACCA 793,SAMIA,O,70.0,50.0,Solvent,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",,,,,0.0,,,,0.0,0.0
124,105533.0,SAMIACEL LACCA 793 ET,SAMIA,O,70.0,50.0,Solvent,"FISS BOWIE (MANWAH), EFF ELLING TON+VISEU K TT LUX",,,1200.0,220.0,266.29,COMPOUND,516.0,47.0,400.0,472.0
125,104915.0,SAMIACEL OPACO 813,SAMIA,O,70.0,50.0,Solvent,,,,,,0.0,COMPOUND,2.0,0.0,0.0,0.0
126,105515.0,SAMIACEL OPACO 813 ET,SAMIA,O,70.0,50.0,Solvent,"FISS nitro, SIENA, Maestro",,,5600.0,116.0,186.338,COMPOUND,1379.0,112.0,797.0,751.0
127,104966.0,SMITFIX M 9556,SMIT FINISHING,O,85.0,110.0,Binder,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
128,104964.0,RODA FIX 6271/B,TFL,O,85.0,1000.0,Binder,fiss water mau trang,,,3700.0,1910.0,54.3,,,,706.0,881.0
129,105410.0,EX-WT-35-711,STAHL Singapore,O,25.0,120.0,Binder,xai FISS water ,7800.0,2023-07-30::7800.0,5040.0,709.0,984.966,COMPOUND,7245.0,2035.0,5484.0,5275.0
130,104708.0,NOVA M 16/NF,UNICHEM,O,54.0,120.0,Binder,,,,,,0.0,COMPOUND,0.0,0.0,0.0,0.0
131,104973.0,TFIX M 9562,SMIT FINISHING,O,70.0,120.0,Binder,"Tên art. Có TIP : BRAZOS MANWAH, TIP,BONO TIP, VANILE TIP,CAPE TOWN TIP,DAKOTA TIP,ASPEN,EMO TIP,ROSSINI TT TIP,TSING,XANTUM",,,5520.0,184.0,435.6,COMPOUND,296.0,23.0,501.0,778.0
132,104812.0,NOVA NT/L NF,UNICHEM,O,54.0,120.0,Binder,,,,,,0.0,,,,0.0,0.0
133,104824.0,NOVOLAC 750,RECALAC,O,70.0,1000.0,Binder,EMU DARK,,,11000.0,915.0,649.511,COMPOUND,2995.0,1354.0,5098.0,3788.0
134,105376.0,TOPCELL VOC FREE,Tanquimica BRazil,O,76.0,1000.0,Binder,EMUL: ASIAMA and MANWAH,4000.0,2023-07-16::4000.0,4000.0,3780.0,467.5,COMPOUND,3900.0,855.0,1309.0,2498.0
135,105223.0,EXP AQ SYSTEM EF 91/8,GSC,O,70.0,120.0,Binder,"EFFETTO water: BONO TT TIP,HP, BRAZOS,VINCI, MALLORCA,BENTON,ANGKOR,RAIDER,GABLES,ROSSINI TT TIP",3240.0,2023-07-01::120.0|||2023-07-22::2400.0|||2023-08-19::720.0,2640.0,653.0,138.448,COMPOUND,2320.0,351.0,2191.0,2350.0
136,105170.0,AQ SYSTEM EF 91/8,,,,,,,,,,,0.0,,,,0.0,0.0
137,104758.0,BRITEX ORANGE,SAMIA,O,70.0,1.0,Pigmented,,,,,,0.0,,,,0.0,0.0
138,104800.0,OCRA CONTEX,SAMIA,O,70.0,160.0,,,,,,,0.0,PIGMENT,6.0,0.0,0.0,0.0
139,105465.0,OPERA OCRA DL,GSC,O,70.0,150.0,Pigmented,GSC project,8700.0,2023-07-01::5250.0|||2023-07-22::750.0|||2023-08-19::2700.0,6600.0,668.0,431.074,PIGMENT,4150.0,1563.0,2004.0,2264.0
140,104747.0,ISOLAC  OCRA ,SAMIA,O,70.0,10.0,,"xài h?t không mua n?a, chuy?n qua mua ""SHADE CARAMEL""",,,90.0,57.0,5.964,PIGMENT,22.0,1.0,22.0,21.0
141,105596.0,SHADE CARAMEL/EJ,GSC,O,70.0,10.0,,"pigment EFF nitro, KELA",,,,5.0,0.0,,,,0.0,0.0
142,104929.0,RODA BASE RECO 8,TFL,O,85.0,115.0,Binder,PRE,8740.0,2023-06-29::8740.0,6440.0,248.0,832.51,COMPOUND,5421.0,1645.0,3781.0,3216.0
143,104963.0,RODA CARE NL,TFL,O,85.0,115.0,Binder,"PRE  art: BOWIE,Ellington, TORONTO TAB,CAPITAL,OVAR,Maestro",9545.0,2023-07-21::2530.0|||NaT::7015.0,115.0,25.0,129.8,COMPOUND,2563.0,1948.0,1775.0,2364.0
144,104728.0,PRIMEX UD 32,GSC ITALY,O,80.0,120.0,Binder,,,,,,0.0,,,,0.0,0.0
